agency_email,talent_email,interaction_type,timestamp
agency@uit.no,ali@uit.no,view,2024-12-29T22:21:32.817809
agency@uit.no,ali@uit.no,match,2024-12-29T22:21:36.017041
agency@uit.no,ali@uit.no,view,2024-12-29T22:21:47.776136
agency@uit.no,ali@uit.no,match,2024-12-29T22:21:51.077496
agency@uit.no,ali@uit.no,view,2024-12-29T23:44:56.265775
agency@uit.no,ali@uit.no,match,2024-12-29T23:45:00.051081
agency@uit.no,ali@uit.no,view,2024-12-29T23:48:37.134785
agency@uit.no,ali@uit.no,match,2024-12-29T23:48:40.547531
agency@uit.no,ali@uit.no,view,2024-12-29T23:54:04.214299
agency@uit.no,ali@uit.no,match,2024-12-29T23:54:08.322093
agency@uit.no,ali@uit.no,view,2024-12-29T23:58:02.991780
agency@uit.no,ali@uit.no,view,2024-12-30T00:20:13.878830
agency@uit.no,ali@uit.no,match,2024-12-30T00:20:23.584685
agency@uit.no,ali@uit.no,view,2024-12-30T00:25:03.725166
agency@uit.no,ali@uit.no,match,2024-12-30T00:25:12.350422
agency@uit.no,ali@uit.no,view,2024-12-30T01:34:17.732478
agency@uit.no,ali1@uit.no,view,2024-12-30T01:34:17.732580
agency@uit.no,ali@uit.no,match,2024-12-30T01:34:22.949198
agency@uit.no,ali1@uit.no,match,2024-12-30T01:34:32.121431
agency@uit.no,ali@uit.no,view,2024-12-30T01:37:52.725694
agency@uit.no,ali1@uit.no,view,2024-12-30T01:37:52.725795
agency@uit.no,ali@uit.no,match,2024-12-30T01:37:56.440813
agency@uit.no,ali@uit.no,view,2024-12-30T01:39:08.268858
agency@uit.no,ali1@uit.no,view,2024-12-30T01:39:08.269067
agency@uit.no,ali@uit.no,match,2024-12-30T01:39:12.737203
agency@uit.no,ali1@uit.no,match,2024-12-30T01:39:17.280978
agency@uit.no,ali@uit.no,view,2024-12-30T21:02:08.988902
agency@uit.no,ali1@uit.no,view,2024-12-30T21:02:08.989001
agency@uit.no,ali@uit.no,match,2024-12-30T21:02:18.111902
agency@uit.no,ali1@uit.no,match,2024-12-30T21:02:23.839224
agency@uit.no,ali@uit.no,view,2024-12-30T21:03:42.144437
agency@uit.no,ali1@uit.no,view,2024-12-30T21:03:42.144536
agency@uit.no,ehsan@uit.no,view,2024-12-30T21:03:42.144567
agency@uit.no,ali@uit.no,match,2024-12-30T21:03:47.231635
agency@uit.no,ali1@uit.no,match,2024-12-30T21:03:48.317267
agency@uit.no,ali@uit.no,match,2024-12-30T21:07:59.863046
agency@uit.no,ehsan@uit.no,match,2024-12-30T21:08:12.356213
agency@uit.no,ali@uit.no,match,2024-12-30T21:13:56.295399
